2023년 지역축제 개최 계획,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
연번,"광역
단체명","기초
단체명",축제명,축제유형,개최기간,개최장소,개최방식,"최초
개최년도(년)",예산(백만원),,,,방문객수(前년),,전담조직(축제사무국),,,"국비지원
부처명",담당자,,,
,,,,,,,,,국비,지방비,기타,합계, 내국인(명) ,외국인(명),전담조직명,조직형태,설립근거,,성명,연락처,,
859,경북,포항시,호미곶한민족해맞이축전,"생태자연, 문화예술",2023.12.31.~2024.1.1.,호미곶해맞이광장,대면,1999년,,345,,345,"100,000",,포항문화재단,재단법인,포항문화재단 설립 및 운영에 관련 조례,,박수정,054-270-2243,,
860,경북,포항시,포항국제불빛축제,"문화예술, 주민화합",2023. 5.,형산강체육공원,혼합형,2004년,30,"1,760",,"1,800","300,000",,포항문화재단,재단법인,포항문화재단 설립 및 운영에 관련 조례,문체부,박수정,054-270-2243,,
861,경북,포항시,포항해병대문화축제,"문화예술, 주민화합",2023. 4.,오천읍 일원,대면,2017년,,500,,500,"150,000",,,,,,양영진,054-270-2246,,
862,경북,포항시,포항운하축제,"문화예술, 주민화합",2023. 9.,포항운하 일원,대면,2014년,,100,20,120,"30,000",,,,,,양영진,054-270-2246,,
863,경북,포항시,포항철길숲야행축제,"문화예술, 주민화합",2023. 8.,포항철길숲 일원,대면,2022년,,265,,265,"50,000",,,,,,박수정,054-270-2243,,
864,경북,포항시,포항 구룡포 대게 축제,수산물 축제,2023. 3.,구룡포아라광장,대면,2019년,,56,14,70,"15,000",,,,,,김건희,054-270-2854,,
865,경북,포항시,포항 호미곶 돌문어 축제,수산물 축제,2023. 4.,호미곶새천년광장,대면,2009년,,15,4,18,"8,000",,,,,,김건희,054-270-2854,,
866,경북,포항시,포항 영일만 검은돌장어 축제,수산물 축제,2023. 7.,동해면 도구해수욕장,대면,2014년,,43,11,54,"12,000",,,,,,김건희,054-270-2854,,
867,경북,포항시,포항 수산물 FESTIVAL,수산물 축제,2023. 9.,포항수협 활어위판장,대면,2013년,,20,5,25,"7,500",,,,,,김건희,054-270-2854,,
868,경북,포항시,포항 구룡포 과메기 축제,수산물 축제,2023. 11.,구룡포아라광장,대면,1998년,,22,6,28,"10,000",,,,,,김건희,054-270-2854,,
869,경북,포항시,포항 구룡포 과메기&겨울바다 축제,수산물 축제,2023.12.31.~2024.1.1.,영일대특설행사장,대면,2013년,,21,5,27,"12,000",,,,,,김건희,054-270-2854,,
870,경북,포항시,부조장터문화축제,"전통역사, 주민화합",2023. 10.,신부조장터공원,대면,,,100,25,125,"20,000",,연일향토청년회,민간단체,,,이현수,054-270-2264,,
871,경북,포항시,장기산딸기문화축제,특산물 축제,2023. 5.,장기초등학교,대면,,,19,5,24,"5,000",,장기산딸기문화축제추진위원회,민간단체,,,홍정민,054-270-6665,,
872,경북,포항시,"흥해 황금들녁 
허수아비 문화축제","문화예술, 주민화합",10월중,"흥해
곡강천",대면,2010년,,14,,14,"5,000",,"포항흥해황금들녘 
허수아비문화축제위원회",민간단체,포항시 농업농촌 및 식품산업지원,,김미림,054-270-2663,,
873,경북,포항시,제2회 흥해9경문화축제,문화예술,9월중,칠포해수욕장,혼합형,2022년,,40,20,60,"1,000",,흥해향토청년회,민간단체,,,고형진,054-270-7207,,
874,경북,경주시,경주벚꽃축제,관광,3~4월중,대릉원돌담길 일원,혼합형,2017년,,342,,342,,,경주문화재단,재단법인,경주문화재단 설립에 관한 조례,,이시안,054-779-6078,,
875,경북,김천시,김천자두축제,농특산물,6월중(5일),홈페이지,혼합형,2010년,,280,,280,"30,000",,김천자두협회,사단법인,"농어업인삶의질법(제35조),도농교류법(제12조)",,강동엽,054-421-2533,,
876,경북,김천시,김천포도축제,농특산물,10월중(3일),종합스포츠타운,혼합형,2010년,,280,,280,"50,000",,김천포도회,농업인단체,"농어업인삶의질법(제35조),도농교류법(제12조)",,최은옥,054-421-2532,,
877,경북,김천시,제 12회 농촌체험페스티벌,문화예술,10월중(미정),김천시농업기술센터 내,대면,2012년,,80,,80,"10,000",,농촌지도과 기획귀농팀,,,,임소희,054-421-2561,,
878,경북,김천시,김천시민주간(김천시민의 날 행사),기타(시민화합),10.02.~10.15.,미정,대면,,,100,,100,"1,000",,총무새마을과 시정팀,,,,최문주,054-420-6097,,
879,경북,안동시,안동 암산 얼음축제,생태자연,1.28.~2.5.,남후면 광음리 암산유원지 일원,대면,2009년,,150,,150,,,한국정신문화재단,재단법인,한국정신문화재단 설립 및 지원에 관한 조례,,권희구,054-840-5511,,
880,경북,안동시,안동 민속축제,전통역사,5.4.~5.8.,"웅부공원,문화공원,원도심 일원",대면,1968년,,700,,700,"15,000","15,000",안동문화원,사단법인,안동문화원 지원 및 육성에 관한 조례,,장윤정,054-840-5235,,
881,경북,안동시,안동 벚꽃축제,생태자연,4월 초,낙동강변 벚꽃길,대면,2012년,,90,,90,,,한국정신문화재단,재단법인,한국정신문화재단 설립 및 지원에 관한 조례,,김종연,054-840-5514,,
882,경북,안동시,안동 썸머페스티벌,주민화합,7월~8월 중,낙동강 둔치 등 안동시 일원(예정),대면,2022년,75,75,,150,"15,000","15,000",한국정신문화재단,재단법인,한국정신문화재단 설립 및 지원에 관한 조례,문체부,권희구,054-840-5511,,
883,경북,안동시,2023 문화재 야행(월영야행),전통역사,7.28.~8..6.,월영교 일원,대면,2017년,80,210,,290,"49,500",500,한국정신문화재단,재단법인,한국정신문화재단 설립 및 지원에 관한 조례,문화재청,전은경,054-840-5238,,
884,경북,안동시,안동국제탈춤페스티벌,문화예술,9월~10월 중,탈춤공원 등 안동시 일원(예정),대면,1997년,,"1,000",,"1,000","373,980","14,449",한국정신문화재단,재단법인,한국정신문화재단 설립 및 지원에 관한 조례,,김종연,054-840-5514,,
885,경북,안동시,안동눈빛축제,주민화합,12월 중,탈춤공원 등 안동시 일원(예정),대면,2022년,,,,,,,한국정신문화재단,재단법인,한국정신문화재단 설립 및 지원에 관한 조례,,권희구,054-840-5511,,
886,경북,구미시,"2023 청춘, 금오천 2.4km",문화예술,4월중,금오천일원,대면,2016년,,133,,133,"2,000",,,,,,장세화,054-480-6612,,
887,경북,구미시,구미라면축제,"문화예술
기타(주민화합)",10월중,미정,대면,2022년,,400,,400,"15,000",50,,,,,이선영,054-480-2652,,
888,경북,구미시,2023 제2회 구미푸드 페스티벌,기타(주민화합),10.27.~10.28.,시청 정문앞 복개천,대면,2022년,,90,,90,"35,000",,,,,,이동섭,480-5592,,
889,경북,영주시,한국선비문화축제,문화예술,05.05~05.07.,구도심 및 순흥면 일원,대면,2001년,,540,52,592,"83,053",,영주문화관광재단,재단법인,영주문화관광재단 설립에 관한 조례(2016년),,김상희,054-639-6613,,
890,경북,영주시,소백산철쭉제,생태자연,05.27~05.28.,소백산,대면,1990년,,180,,180,"15,914",,영주문화관광재단,재단법인,영주문화관광재단 설립에 관한 조례(2016년),,김상희,054-639-6613,,
891,경북,영주시,무섬외나무다리축제,전통역사,10.07.~10.08.,문수면 무섬마을,대면,2015년,,81,,81,"11,970",,영주문화관광재단,재단법인,영주문화관광재단 설립에 관한 조례(2016년),,김상희,054-639-6613,,
892,경북,영주시,영주풍기인삼축제,특산물,10월 중,풍기읍,대면,1998년,,63,,63,,,영주풍기인삼축제조직위원회,재단법인,-,,김상희,054-639-6613,,
893,경북,영주시,영주사과축제,특산물,10월 중,부석사일원,대면,2015년,,225,,225,"27,301",,영주문화관광재단,재단법인,영주문화관광재단 설립에 관한 조례(2016년),,김상희,054-639-6613,,
894,경북,영주시,여름축제(가제),주민화합,7~8월 중,영주시 시내,대면,2023년,,290,,290,,,영주문화관광재단,재단법인,영주문화관광재단 설립에 관한 조례(2016년),,김상희,054-639-6613,,
895,경북,영천시,제20회 영천보현사별빛축제,천문과학,10월 중[3일간],보현산천문과학관 일원,대면+온라인,2004년,,300,,300,"75,064",580,영천보현산별빛축제위원회,비영리법인,,,김승희,054-330-6702,,
896,경북,영천시,제22회 영천과일축제,특산물,9월중 예정,미정,대면,1998년,,270,,270,"50,044",700,영천과일축제추진위원회,비영리법인,,,김은목,054-339-7188,,
897,경북,영천시,제21회 영천한약축제,특산물,9월~10월 중(미정),영천한의마을,대면,2003년,,550,,550,"50,044",700,영천한방산업발전협의회,비영리법인,,,박장우,054-339-7282,,
898,경북,영천시,제11회 영천와인페스타,특산물,9월~10월 중(미정),영천강변공원(미정),대면,2013년,,150,,150,"20,000",,(사)영천와인사업단,사단법인,,,장서희,054-339-7398,,
899,경북,영천시,제49회 영천문화예술제,문화예술,10월 중[3일간],영천강변공원,대면,1974년,,200,,200,"70,000",,"영천문화예술제추진위원회(영천문화원, 한국예총영천지회)",사단법인,"지방문화원진흥법 제4조, 문화예술진흥법 제7조",,이희진,054-330-6365,,
900,경북,상주시,2023 상주 소울푸드 페스티벌,문화관광,10월 중,상주 경상감영공원,대면,2022년,,"1,000",,"1,000","100,000",,상주시축제추진위원회,위원회,상주시 축제추진위원회 설치 및 운영조례,,김정도,054-537-7108,,
901,경북,상주시,2023 상주곶감축제,특산물,12월 중,상주시민운동장,대면,2006년,,500,,500,"40,000",,상주시 곶감축제추진위원회,위원회,,,김상득,054-537-7529,,
902,경북,상주시,상주 전국한우축제,특산물,10월 중,미정,대면,2008년,,90,60,150,"10,000",,상주한우축제추진위원회,위원회,,,김우경,054-537-7462,,
903,경북,상주시,제4회 상주 청보리 축제,"문화예술, 생태자연",5.4.~5.5.,청리면 청상리 일원,대면,2016년,,20,,20,"2,900",100,"청보리축제추진
위원회",,상주시 농어업 ㆍ농촌 및 식품산업 지원에 관한 기본조례 제10조 제7호,,장예은,054-537-8144,,
904,경북,문경시,문경찻사발축제,문화예술,4.29~5.8.,문경새재도립공원 일원,대면,1999년,,"1,500",,"1,500","100,000여명",,문경관광진흥공단,지방공기업,문경시 관광진흥공단 설립 및 운영에 관한 조례,,구희대,054-550-6395,,
905,경북,문경시,문경사과축제,특산물,10월 중,문경새재도립공원 일원,대면,2006년,,360,,360,"380,000여명",,문경관광진흥공단,지방공기업,문경시 관광진흥공단 설립 및 운영에 관한 조례,,백승규,054-550-6887,,
906,경북,문경시,문경오미자축제,특산물,9월 중,동로면 일원,대면,2005년,,290,,290,"60,000여명",,문경관광진흥공단,지방공기업,문경시 관광진흥공단 설립 및 운영에 관한 조례,,정혜민,054-550-6889,,
907,경북,문경시,문경약돌한우축제,특산물,10월 중,문경새재도립공원 일원,대면,2001년,,290,,290,"100,000여명",,문경관광진흥공단,지방공기업,문경시 관광진흥공단 설립 및 운영에 관한 조례,,이동호,054-550-6812,,
908,경북,경산시,경산자인단오제,"문화예술,전통역사",6.22.~6.24.,경산자인의 계정숲,대면,1970년,,550,,550,"99,000","1,000",(사)국가무형문화재 경산자인단오제보존회,사단법인,문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙,,장정현,053-810-5357,,
909,경북,경산시,경산갓바위소원성취축제,"문화예술,전통역사",9~10월중(2일간),갓바위 공영주차장,대면,1998년,,280,,280,"35,162",176,갓바위축제추진위원회,민간단체,,,장정현,053-810-5357,,
910,경북,경산시,제12회 경산대추축제(가칭),특산물,10.14.~10.15.(미정),경산생활체육공원 어귀마당(미정),대면,2006년,,170,30,200,"50,000",,미정(공모사업),,,,최찬술,053-810-6707,,
911,경북,경산시,제2회 한여름밤 문화행사,문화예술,8.12.~10.4.,"삼성현
역사
문화
공원",대면,2022년,,160,,160,"45,000",,경산시(삼성현문화박물관),지자체,,,이상정,053-804-7319,,
912,경북,군위군,군위장군단오제,문화예술,6.3,효령면 일원,미정,2017년,,57,,57,800,,군위문화원,법인,,,조현영,054-380-6866,,
913,경북,군위군,러브하트 페스티벌,주민화합,4~5월,효령면 일원,미정,2023년,,40,,40,미개최,미개최,군위군,지자체,,,윤나현,054-380-6916,,
914,경북,의성군,제6회 의성슈퍼푸드마늘축제,특산물,10월 중 3일 (변경 가능),의성읍,대면,2018년,,840,,840,"37,198",,의성슈퍼푸드마늘축제집행위원회,위원회,의성군 축제 지원 및 운영 조례(2015년),,김형진,054-830-6578,,
915,경북,의성군,제1회 남대천 벚꽃축제,생태자연,4월 중 3일,의성읍 남대천 일원,대면,2023년,,100,,100,,,관광문화과,,,,김형진,054-830-6578,,
916,경북,의성군,산수유마을꽃맞이행사,생태자연,3월 중 9일,사곡면 산수유마을 일원,대면,2008년,,70,,70,"16,666",,관광문화과,,,,김형진,054-830-6578,,
917,경북,청송군,제17회 청송사과축제,특산물,11.01.~11.05.,청송군 청송읍 용전천 현비암 일원,대면+온라인,2004년,30,730,,760,"202,820",,청송군축제추진위원회,위원회,청송군 축제추진위원회 설치 및 운영 조례(2011년),문체부,최단비,054-870-6237,,
918,경북,영양군,제18회 영양산나물축제,특산물,05.11.~05.14.,영양군청 및 영양전통시장,대면,2005년,,650,,650,"59,124",,영양축제관광재단,재단법인,영양군 재단법인 영양축제관광재단 설립 및 지원에 관한 조례(2015년),,심명희,054-680-6411,,
919,경북,영양군,영양고추 H.O.T Festival,특산물,09.10.~09.12.,서울시청 앞 광장,대면,2007년,,450,,450,"80,000",,영양축제관광재단,재단법인,영양군 재단법인 영양축제관광재단 설립 및 지원에 관한 조례(2015년),,김지훈,054-680-6381,,
920,경북,영양군,캠핑과 함께하는 별빛 반딧불이 체럼,생태자연,08.25.~08.26.,영양군 수비면 반딧불이로 129 일원,대면,2019년,,100,,100,"3,000",,영양축제관광재단,재단법인,영양군 재단법인 영양축제관광재단 설립 및 지원에 관한 조례(2015년),,김경호,054-680-5333,,
921,경북,영양군,수비면 능이축제,특산물,10.07.~10.08.,영양군 수비면 체육공원 등 면소재지 일원,대면,2022년,,30,,30,"5,000",,수비면주민자치위원회,,,,문희란,054-680-5815,,
922,경북,영덕군,제26회 영덕대게축제,특산물,02.24.~02.26.,해파랑공원,대면,1998년,,600,,600,온라인 개최,,영덕문화관광재단,재단법인,,,박대경,054-730-6393,,
923,경북,영덕군,2023 축산 스트릿 씨푸드파티,특산물,02.24.~02.26.,축산면 경정항(경정1리),대면,2023년,75,75,,150,,,영덕문화관광재단,재단법인,,,김현수,054-730-6756,,
924,경북,영덕군,영덕황금은어축제,특산물,07.29.~08.01.(예정),영덕 오십천 둔치 일원,대면,1999년,,290,,290,"12,000",,영덕황금은어축제추진위원장,임의단체,,,김현수,054-730-6756,,
925,경북,영덕군,경북대종타종식 및 해맞이행사,문화예술,12.31.~01.01.,강구 삼사해상공원,대면,1998년,,300,,300,미개최,,영덕문화관광재단,재단법인,,,박대경,054-730-6393,,
926,경북,청도군,청도소싸움축제,전통역사,4.14.~4.16.,청도소싸움경기장,대면,1999년,,600,,,"312,800",,청도소싸움축제추진위원회,민간단체,,,구태헌,054-370-6376,,
927,경북,청도군,청도반시축제,특산물,10월,청도야외공연장 일원,대면,2006년,,405,,,"448,216",,청도반시축제추진윈원회,민간단체,,,구태헌,054-370-6376,,
928,경북,청도군,청도세계코미디아트페스티벌,문화예술,10월,청도야외공연장 일원,대면,2015년,,650,,,"448,216",,,,,,구태헌,054-370-6376,,
929,경북,고령군,2023 고령 대가야축제,전통역사,03.31~04.01,대가야역사테마관광지 일원,혼합형,2005년,,,"1,120","1,120","105,755","10,715",사)고령군관광협의회,사단법인,고령군 관광협의회 지원에 관한 조례(2016년),문체부,박대호,054-950-6652,,
930,경북,성주군,2023성주생명문화&참외축제,문화예술,23.5.18.~21,성밖숲 일원,대면,2004년,,"1,100",,"1,100",27,,성주군축제추진위원회,위원회,성주군 축제추진위원회 설치 및 운영조례,,이은성,054-930-6982,,
931,경북,성주군,2023성주가야산황금들녘메뚜기축제,생태자원,23.10월중,수륜면 수성리 일원,대면,2014년,,100,,100,10,,"성주가야산황금들녘메뚜기축제
추진위원회",위원회,성주군 축제추진위원회 설치 및 운영조례,,이은성,054-930-6982,,
932,경북,칠곡군,제10회 낙동강세계평화 문화 대축전,문화예술,10월 중 3일간,칠곡보생태공원 및 왜관읍1번도로,대면,2013년,,"1,800",,"1,800","300,000","10,000",칠곡문화관광재단,재단법인,칠곡군 문화관광재단 설립 및 운영에 관한 조례(2022년),,김동하,054-979-6100,,
933,경북,예천군,2023 예천세계활축제,문화예술,10.7.~10.9.(예정),한천체육공원 및 예천읍시가지 일원,대면,2014년,,800,,800,"120,000",,(재)예천문화관광재단,재단법인,예천군 재단법인 예천문화관광재단 설립 및 지원에 관한 조례,,박희종,054-650-6391,,
934,경북,예천군,2023 삼강주막 나루터축제,생태자연,9월중(추석예정),삼각주막 및 삼강문화단지 일원,대면,2018년,,170,,170,"18,000",,(재)예천문화관광재단,재단법인,예천군 재단법인 예천문화관광재단 설립 및 지원에 관한 조례,,허승철,054-650-6912,,
935,경북,예천군,용궁순대축제,특산물,9월중,용궁면 전통시장 일원,대면,2012년,,100,,100,"20,000",,예천용궁순대축제 추진위원회,위원회,,,권태준,054-650-6276,,
936,경북,예천군,예천장터 농산물대축제,특산물,11월중,한천체육공원 일원,대면,1998년,,500,,500,"180,000",,예천농산물축제추진위원회,위원회,,,임소희,054-650-6271,,
937,경북,봉화군,제25회 봉화은어축제,특산물,7월~8월중,봉화읍 내성천,대면,1999년,30,"2,000",,"2,030","140,000",.,봉화축제관광재단,재단법인,봉화군 재단법인 봉화축제관광재단 설립 및 지원에 관한 조례,문체부,장지성,054-679-6343,,
938,경북,봉화군,제27회 봉화송이축제,특산물,9월~10월중,봉화읍 내성천,대면,1997년,,580,,580,"73,000",.,봉화축제관광재단,재단법인,봉화군 재단법인 봉화축제관광재단 설립 및 지원에 관한 조례,문체부,장지성,054-679-6343,,
939,경북,봉화군,분천 한여름·겨울 산타마을,기타(관광자원),12월~2월중,소천면 분천리,대면,2011년,,100,,100,"70,000",.,봉화축제관광재단,재단법인,봉화군 재단법인 봉화축제관광재단 설립 및 지원에 관한 조례,문체부,장지성,054-679-6343,,
940,경북,울진군,울진대게와 붉은대게 축제,특산물,2.23~2.26,후포항,대면,2000년,,350,,350,,,울진군 축제발전위원회,축제조직위원회,울진군 축제발전위원회의 설치 및 운영 조례,,손용락,,,
941,경북,울진군,죽변항 수산물 축제,특산물,12월중,죽변항,대면,2019년,,350,,350,"40,000",,울진군 축제발전위원회,축제조직위원회,울진군 축제발전위원회의 설치 및 운영 조례,,손용락,,,
942,경북,울릉군,제21회 울릉도 오징어 축제,특산물,8월 중,울릉군 일원,대면,2001년,,200,,200,"10,000",,울릉군축제위원회,위원회,울릉군 축제 육성 및 지원에 관한 조례,,김혜경,054-790-6426,,
943,경북,울릉군,2023년 울릉도 눈축제,생태자연,02.03.~02.05.,나리분지,대면,2023년,,80,,80,,,,,,,정지환,054-790-6375,,
944,경남,창원시,기업사랑 시민축제,기타(주민화합 등),5월 중,"창원시
일원",혼합형,2004,-,140,-,140,-,-,창원기업사랑협의회,협의회,창원시 기업사랑 및 기업활동 촉진 등에 관한 조례(2010년),-,김민애,055-225-3163,,
945,경남,창원시,마산어시장 축제,특산물,9~10월 중,"마산
어시장
일원",대면,2000,-,64,-,64,"10,000",-,마산어시장상인회,협의회,전통시장 및 상점가육성에 관한 조례,-,이은숙,055-225-4716,,
946,경남,창원시,이주민 문화다양성 축제(MAMF),기타(주민화합 등),10.20~10.22,"용지공원, 성산아트홀",대면,2010,500,450,50,"1,000",220000,-,MAMF추진위원회,-,-,문화체육관광부,이경진,055-225-3293,,
947,경남,창원시,전통시장 맥주축제,기타(주민화합 등),10월 중,전통시장 인근 광장,대면,2019,-,50,-,50,"5,000",-,-,-,-,-,이은숙,055-225-4716,,
948,경남,창원시,진해중앙시장 축제,기타(주민화합 등),10월 중,진해중앙시장일원,대면,2017,-,27,3,30,"3,000",-,진해중앙시장상인회,-,-,-,이은숙,055-225-4716,,
949,경남,창원시,눈 내리는 창동 거리 축제,기타(주민화합 등),10~12월 중,창동거리 일원,대면,2020,-,20,-,20,"8,000",-,창동통합상가상인회,-,-,-,김성헌,055-225-3226,,
950,경남,창원시,충무지구 근대군항 문화페스타,전통역사,10월 중,충무지구 중원로 일원,대면,2019,120,80,-,200,500,-,"창원시도시재생지원센터
(충무지구현장지원센터)",법인,창원시 도시재생 활성화 및 지원에 관한 조례,국토교통부,손원기,055-225-3715,,
951,경남,창원시,천주산 진달래축제,생태자연,3~4월 중,천주산,대면,2010,-,21,-,21,"50,000",-,천주산 진달래축제위원회,-,-,-,조미성,055-225-3658,,
952,경남,창원시,진동불꽃낙화축제,기타(주민화합 등),4.14~4.16,진동 광암항 일원,대면,2011,-,27,-,27,500,-,진동면청년회,-,-,-,박은정,055-225-3654,,
953,경남,창원시,"진해군항제
(군악의장페스티벌, 승전행차 포함)",생태자연,3.25~4.3,진해구 일원,대면,1963,-,"1,472",-,"1,472",-,-,(사)이충무공선양군항제위원회,위원회, 창원시 축제의 육성 및 지원에 관한 조례,-,이동근,055-225-2343,,
954,경남,창원시,마산국화축제,생태자연,10~11월 중,마산해양신도시,대면,2000,-,"1,145",-,"1,145",560000,-,마산국화축제위원회,위원회, 창원시 축제의 육성 및 지원에 관한 조례,-,이동근,055-225-2343,,
955,경남,창원시,마금산온천축제,특산물,10월 중,마금산온천관광지,대면,2007,-,40,10,50,5000,-,창원북면마금산온천축제추진위원회,-,-,-,설두호,055-225-3644,,
956,경남,창원시,창원진동미더덕축제,특산물,4월 중,진동면 광암항 일원,대면,2005,-,91,40,131,200000,-,창원진동미더덕축제위원회(창원서부수협),수산업협동조합,수산업협동조합법,-,김도성,055-225-3433,,
957,경남,창원시,진해만싱싱수산물축제,특산물,9~10월 중,진해수협 일원,대면,2019,-,58,56,114,"4,000",-,진해수산업협동조합,수산업협동조합,수산업협동조합법,-,김도성,055-225-3433,,
958,경남,창원시,창원홍하비축제,특산물,11월 중,3.15해양누리공원,대면,2022,-,50,50,100,"5,000",-,마산수산업협동조합,수산업협동조합,수산업협동조합법,-,박혜민,055-225-3434,,
959,경남,창원시,창원단감축제,특산물,10월 중,창원단감테마공원,대면,1994,-,100,40,140,"20,000",-,창원단감축제위원회,-,-,-,안성규,055-225-5612,,
960,경남,창원시,동읍 무점마을 코스모스축제,생태자연,9~10월 중,무점마을 코스모스길 일원,대면,2016,-,20,-,20,100000,-,동읍행정복지센터,-,-,-,강현우,055-212-5113,,
961,경남,창원시,소계동 산 벚꽃 축제,생태자연,3~4월 중,소계운동장 일원,대면,2013,-,10,20,30,"1,000",-,소계동청년회,비영리민간단체,-,-,류방현,055-212-5414,,
962,경남,창원시,제9회 산호공원 꽃무릇축제,생태자연,9월 중,산호공원 일원,대면,2013,-,15,-,15,"3,000",-,산호동주민자치회,자생단체, 창원시 주민자치회 및 주민자치센터 설치ㆍ운영에 관한 조례(2022),-,배민영,055-220-5904,,
963,경남,진주시,제22회 진주논개제,전통역사,5월 중,"진주성
일원",대면,2002,-,620,-,620,"42,009",30,진주문화관광재단,출연기관,진주문화관광재단 설립 및 운영에 관한 조례,-,김수남,055-749-8589,,
964,경남,진주시,2023 진주남강유등축제,전통역사,10월 중,"진주성,
남강 일원",대면,2000,-,"2,800","1,180","3,980","1,620,000",109,진주문화예술재단,재단법인,"민법 제32조, 문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙 제3조",-,홍순천,055-749-8588,,
965,경남,진주시,제72회 개천예술제,전통역사,10월 중,"진주성,
남강 일원",대면,1949,-,"1,586",674,"2,260","543,000",41,한국예총진주지회,사단법인,"민법 제32조, 문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙 제3조",-,김수남,055-749-8589,,
966,경남,진주시,2023 코리아드라마페스티벌,문화예술,10월 중,"장대동
남강둔치
일원",대면,2006,600,400,100,"1,100","488,000",30,"코리아
드라마
페스티벌
조직위원회",사단법인,"민법 제32조, 문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙 제3조",문화체육관광부,이수민,055-749-8590,,
967,경남,진주시,진주 M2(뮤직&미디어)페스티벌,문화예술,8월 초,"망경동
남강둔치
일원",대면,2019,-,500,-,500,"15,000",40,㈜KNN,주식회사,-,-,이수민,055-749-8590,,
968,경남,통영시,제62회 통영한산대첩축제,문화예술,8월 중,통영시 일원,대면,1962,30,"1,100",-,"1,130","160,676",-,통영한산대첩문화재단,재단법인,통영한산대첩문화재단 설립 및 운영에 관한 조례,문화체육관광부,황경민,055-650-4532,,
969,경남,통영시,제7회 광도빛길 수국축제,생태자연,6월 중,광도천 수국길,대면,2017,-,16,24,40,500,-,(사) 빛과 길,사단법인,-,-,이정선,055-650-3563,,
970,경남,통영시,제18회 봉숫골 꽃나들이 축제,문화예술,4월 중,봉평동(봉숫골 아름다운 거리 및 용화사 광장 일원),대면,2003,-,34,16,50,"20,000","1,000",봉숫골벚꽃축제위원회,축제조직위,-,-,정병훈,055-650-3843,,
971,경남,사천시 ,"전통사찰과 함께하는 차 
문화체험 행사","문화예술
전통역사
기타(주민화합 등)",05.04.~06.03.,다솔사,대면,2023,-,50,-,50,-,-,밝은땅다솔축제 추진위원회,위원회,자체규정,-,강귀슬,055-831-5203,,
972,경남,사천시 ,제15회 밝은땅 다솔축제 ,문화예술,5월 중,"곤명생태학습
체험장",대면,2010,-,12,10,22,500,-,밝은땅다솔축제 추진위원회,위원회,자체규정,-,강귀슬,055-831-5203,,
973,경남,사천시,제25회 사천와룡문화제,문화예술,04.28.~04.30.,사천시청 광장일원,대면,1995,-,330,-,330,"197,993",-,사천문화재단,재단법인,사천시 문화재단 설립 및 운영조례,-,김예은,055-835-6416,,
974,경남,사천시,제1회 사천읍성 꽃무릇축제 (가칭),문화예술,9~10월 중,사천읍성,대면,2023,-,50,-,50,-,-,"사천읍성꽃무릇축제추진위원회
(가칭)",위원회,자체규정,-,임민정,055-831-5010,,
975,경남,사천시,제6회 곤양비봉내축제,"전통역사
기타(주민화합)",10월 중,곤양생활체육시설 일원,대면,2015,-,30,-,30,-,-,"곤양비봉내
축제위원회",위원회,자체정관,-,김미현,055-831-5174,,
976,경남,사천시,제15회 사천시농업한마당축제,특산물,10.27.~10.29.,사천시청 노을광장,대면,2007,-,350,-,350,"100,000",100,사천시농업한마당축제추진위원회,위원회,자체규약,-,문상필,055-831-3764,,
977,경남,사천시,제8회 사천시 비토별주부전축제,"문화예술
기타(주민화합 등)",4월 중,"비토해양
낚시공원앞 주차장",대면,2014,-,40,60,100,"5,000",300,"별주부전
축제추진
위원회",위원회,자체정관,-,류정곤,055-831-5234,,
978,경남,사천시,제4회 선진리성벚꽃축제,문화예술,03.25~04.02.,선진리성 일원,대면,2017,-,30,5,35,"5,000",-,"선진리성
벚꽃축제
위원회",위원회,"사천시지역문화 진흥에 관한 조례 제3조, 제4조, 제5조",-,한해주,055-831-5112,,
979,경남,사천시,"2023 사천우주항공축제
(가칭)
<문화체육과 주관 
대한민국 NASA 사천 
페스티벌 연계 추진>",기타(주민화합 등),10월 중,미정,대면,2004,-,"1,700",-,"1,700","390,727","10,000","사천에어쇼
추진위원회",위원회,"사천에어쇼 추진위원회 
설치 및 운영조례",-,하준기,,,
980,경남,사천시,제13회 사천시 주민복지 박람회,기타(주민화합 등),6.9.~6.10.,삼천포체육관,대면,2009,-,80,-,80,"3,000",-,사천시자원봉사단체협의회,사단법인,사천시 자원봉사활동 지원조례,-,유니나,055-831-2615,,
981,경남,사천시,2023 사천시 삼천포항 수산물축제,특산물,4.21.~4.23.,삼천포대교공원,대면,2005,-,190,10,200,"150,000",-,사천시삼천포항수산물축제추진위원회,비영리법인,사천시삼천포항수산물축제추진위원회운영규약,-,유성수,055-831-3111,,
