연번,"광역
단체명","기초
단체명",축제명,축제유형,개최기간,개최장소,개최방식,"최초
개최년도",예산(백만원),,,,방문객수(前년),,전담조직(축제사무국),,,"국비지원
부처명",담당자,
494,경남,합천군,합천바캉스축제,기타(관광축제),미정,합천일원,혼합형,1995년,,215, - ,215,,,,,,,김수진,055-930-4666
495,경남,합천군,합천기록문화축제,문화예술,10월 예정,대장경테마파크,대면,2019년,,200, - ,200,,,,,,,도승엽,055-930-4696
496,전남,,2022 명량대첩축제,전통역사,9.23.~9.25.,울돌목 일원,혼합형,2008, - ,"1,600", - ,"1,600","132,647", - ,(재)명량대첩기념사업회,재단법인,전라남도 재단법인 명량대첩기념사업회 설립 및 지원 조례,,박화숙,061-286-5261
497,전남,,제28회 남도음식문화큰잔치,특산물,10.8.~10.10.,여수세계박람회장 일원,혼합형,1994, - ,"1,077", - ,"1,077","31,223", - ,(재)남도음식문화큰잔치,재단법인,전라남도 재단법인 남도음식문화큰잔치 설립 및 운영 조례,,송하철,061-286-5771
498,전남,목포시,2022 목포유달산봄축제,생태자연,4.7~4.10.,유달산 및 근대역사거리 일원,대면,1996,100,100, - ,200, - , - ,목포시축제추진위원회,민간단체,목포축제추진위원회 설치 및 운영 조례,문체부,김정환,061-270-8432
499,전남,목포시,2022 목포항구축제,생태자연,10.13~10.16.,목포항 및 삼학도 일원,대면,2006,400,400, - ,800,"25,851", - ,목포시축제추진위원회,민간단체,목포축제추진위원회 설치 및 운영 조례,문체부,최성욱,061-270-8441
500,전남,여수시,제30회 여수영취산진달래체험행사,생태자연,3.25.~3.27.,영취산 일원,혼합형,1993, - , - ,70,70, - , - ,여수영취산진달래축제추진위원회,민간단체,여수시 축제운영위원회 설치 및 운영 조례,,김노을,061-659-4742
501,전남,여수시,제56회 여수거북선축제,전통역사,5.6.~5.8.,이순신광장 및 여수시 일원,혼합형,1967, - , - ,855,855, - , - ,여수거북선축제추진위원회,민간단체,여수시 축제운영위원회 설치 및 운영 조례,,이영민,061-659-4743
502,전남,여수시,제20회 거문도백도 은빛바다 체험행사,기타(주민화합 등),8.12.~8.14.,거문도 일원,혼합형,2001, - , - ,50,50, - , - ,거문도백도은빛바다추진위원회,민간단체,여수시 축제운영위원회 설치 및 운영 조례,,김노을,061-659-4742
503,전남,여수시,2022 여수밤바다 불꽃축제,문화예술,9월중,이순신광장 및 장군도 앞 해상,혼합형,2016, - , - ,410,410, - , - ,여수밤바다불꽃축제추진위원회,민간단체,여수시 축제운영위원회 설치 및 운영 조례,,이영민,061-659-4743
504,전남,여수시,여수여자만갯벌노을체험행사,생태자연,9.24.~9.25.,소라면 장척마을 일원,혼합형,2009, - , - ,60,60, - , - ,여수여자만갯벌노을체험행사추진위원회,민간단체,여수시 축제운영위원회 설치 및 운영 조례,,김노을,061-659-4742
505,전남,여수시,여수동동북축제,전통역사,11월중,"용기공원, 선소 일원",혼합형,2018, - , - ,300,300, - , - ,여수동동북축제추진위원회,민간단체,여수시 축제운영위원회 설치 및 운영 조례,,이영민,061-659-4743
506,전남,여수시,제27회 여수향일암일출제,생태자연,12.31.~23.1.1.,돌산 임포마을 일원,혼합형,1996, - , - ,60,60,99, - ,여수향일암일출제추진위원회,민간단체,여수시 축제운영위원회 설치 및 운영 조례,,이영민,061-659-4743
507,전남,순천시,제6회 순천 푸드앤아트페스티벌,문화예술,9월~10월중(3일),순천 원도심 일원,대면,2016, - ,620, - ,620,"225,300", - ,공공(시군),,,,황인철,061-749-5800
508,전남,순천시,제23회 순천만갈대축제,생태자연,10월~11월중(3일),순천만습지일원,대면,1997, - ,70, - ,70,"6,000", - ,공공(시군),,,,천지예,061-749-6081
509,전남,순천시,제27회 낙안읍성 민속문화축제,전통역사,10.21.~10.23.,낙안읍성,대면,1993, - ,210, - ,210,"135,458", - ,낙안읍성보존회,사단법인,순천시 낙안읍성 관리 운영 조례,,김영현,061-749-8838
510,전남,순천시,"제17회순천명품
월등복숭아체험행사",특산물,8.6~8.7.(2일),"월등면 
잔디광장",대면,2003, - ,32,32,64, - , - ,"순천명품월등복숭아
체험행사추진위원회",민간단체,,,서대석,061-749-8722
511,전남,나주시,대한민국 마한문화제,문화예술,10월중,국립나주박물관 일원,대면,2015, - ,590, - ,590, - , - ,나주마한문화축제추진위원회,민간단체,나주시 지역축제 운영 조례,,박진아,061-339-8722
512,전남,나주시,영산포 홍어축제,특산물,4월중,영산강둔치체육공원 일원,대면,2003, - ,170, - ,170, - , - ,영산포홍어축제추진위원회,민간단체,나주시 지역축제 운영 조례,,박진아,061-339-8722
513,전남,나주시,천년나주목읍성문화축제,문화예술,5월중,금성관 및 나주향교 일원,대면,2019, - ,100, - ,100, - , - ,천년나주목읍성문화축제추진위원회,민간단체,나주시 지역축제 운영 조례,,박진아,061-339-8722
514,전남,광양시,광양매화축제,생태자연,3월중(9~10일),매화마을 일원,대면,1997, - ,290, - ,290, - , - ,광양매화축제위원회,민간단체,광양시 축제 발전 및 운영 조례,,서화정,061-797-2721
515,전남,광양시,백운산국사봉철쭉축제,생태자연,4월중(3일),옥곡면 일원,대면,2006, - ,30, - ,30, - , - ,백운산국사복철쭉축제추진위원회,민간단체,광양시 축제 발전 및 운영 조례,,서화정,061-797-2721
516,전남,광양시,(가칭)광양2022 K-POP 슈퍼 페스티벌,문화예술,5월중(3일),중마동 일원,혼합형,2022, - ,500, - ,500, - , - ,공공(시군),,,,양인경,061-797-3714
517,전남,광양시, 광양전어축제,특산물,8월중(3일),진월면 일원,대면,1998, - ,65, - ,65, - , - ,광양전어축제추진위원회,민간단체,광양시 축제 발전 및 운영 조례,,서화정,061-797-2721
518,전남,광양시,광양전통숯불구이축제,특산물,10월중(3~4일),광양읍 서천변 일원,대면,1999, - ,90, - ,90, - , - ,광양전통숯불구이축제추진위원회,민간단체,광양시 축제 발전 및 운영 조례,,서화정,061-797-2721
519,전남,담양군,제22회 담양대나무축제,생태자연,5.2.~5.8(7일),"죽녹원, 관방제림",대면,1999, - ,600,10,610,"532,698", - ,(사)담양대나무축제위원회,사단법인,담양군 축제 지원 및 운영 조례,,김원,061-380-3152
520,전남,담양군,용면추월산벚꽃축제,생태자연,4월초(2일),추월산 광장 일원,대면,2006, - ,20, - ,20,"5,000", - ,용면청년회,임의단체,,,김원,061-380-3152
521,전남,담양군,창평전통음식축제,특산물,10월중(3일),슬로시티방문자센터 일원,대면,2003, - ,35, - ,35,"1,000", - ,창평면주민자치회,임의단체,,,김원,061-380-3152
522,전남,담양군,담양산타축제,문화예술,12월중(10일),"원도심, 메타프로방스 ",대면,2017, - ,250, - ,250,"210,000", - ,담양산타축제추진위원회,민간단체,,,김원,061-380-3152
523,전남,곡성군,제12회 곡성세계장미축제,생태자연,5.21.~6.6.,섬진강기차마을,혼합형,2011, - ,720, - ,720,"300,000","1,000",공공(시군),,,,정지영,061-360-8472
524,전남,곡성군,(가칭)제1회 아이스멜론 페스티벌,특산물,7.8.~7.10.,곡성레저문화센터,대면,2022, - ,200, - ,200, - , - ,공공(시군),,,,정지영,061-360-8472
525,전남,곡성군,제22회 곡성심청어린이대축제,기타(주민화합 등),10.21.~10.30.,섬진강기차마을,혼합형,2021, - ,480, - ,480,"30,000",100,공공(시군),,,,정지영,061-360-8472
526,전남,구례군,제23회 구례산수유꽃축제,생태자연,3.12.~3.20.,산동면 지리산온천관광지 일원,혼합형,1999, - ,200, - ,200,"304,305", - ,구례산수유꽃축제추진위원회,민간단체,구례군 축제추진위원회 설치 및 운영 등에 관한 조례,,권미숙,061-780-2390
527,전남,구례군,제18회 구례섬진강벚꽃축제,생태자연,3월말,문척면 오섬권역 일원,대면,2005, - ,35, - ,35,"101,728", - ,섬진강벚꽃축제추진위원회,민간단체,구례군 관광진흥에 관한 조례,,이동현,061-780-2255
528,전남,구례군,제78회 지리산남악제 및 군민의 날 행사,전통역사,4월중,마산면 화엄사지구 일원,대면,1945,6,329, - ,335,"2,000", - ,지리산남악제 및 군민의날 행사 추진위원회,민간단체,구례군 축제추진위원회 설치 및 운영 등에 관한 조례,문화재청,정선주,061-780-2431
529,전남,구례군,구례뮤직페스티벌,문화예술,7월중,구례읍 공설운동장 일원,대면,2014, - ,150,150,300, - , - ,(사)구례자연드림파크 입주기업체협의회,사단법인,구례군 관광진흥에 관한 조례,,권미숙,061-780-2390
530,전남,구례군,화엄음악제,문화예술,10월중,마산면 화엄사 일원,대면,2005, - ,50,50,100,"2,000", - ,화엄음악제집행위원회,민간단체,구례군 문화예술 육성 및 지원에 관한 조례,,정선주,061-780-2431
531,전남,구례군,제14회 구례동편소리축제,문화예술,10월중,구례서시천체육공원 일원,대면,2008, - ,250, - ,250,"2,000", - ,구례동편소리축제추진위원회,민간단체,구례군 축제추진위원회 설치 및 운영 등에 관한 조례,,정선주,061-780-2431
532,전남,구례군,제46회 지리산피아골단풍축제,생태자연,11월중,토지면 피아골 일원,대면,1976, - ,120, - ,120, - , - ,지리산피아골단풍축제추진위원회,민간단체,구례군 관광진흥에 관한 조례,,이동현,061-780-2255
533,전남,구례군,구례산수유웰니스페스티벌,생태자연,11월중,산동면 지리산온천관광지 일원,혼합형,2020,145,145, - ,290, - , - ,구례산수유꽃축제추진위원회,민간단체,구례군 관광진흥에 관한 조례,문체부,권미숙,061-780-2390
534,전남,고흥군,제13회 고흥우주항공축제,문화예술,5.5.~5.8.,나로우주과학관 일원,대면,2004, - ,350, - ,350, - , - ,고흥군축제추진위원회,민간단체,고흥군 지역축제 운영에 관한 조례,,김종훈,061-830-5658
535,전남,고흥군,제20회 고흥 녹동 바다불꽃축제,특산물,5.5.~5.8.,녹동항구,대면,2001, - ,60, - ,60, - , - ,녹동청년회의소,민간단체,고흥군 지역축제 운영에 관한 조례,,김종훈,061-830-5658
536,전남,고흥군,제2회 고흥 유자 석류축제,특산물,11.3~11.6.,풍양면 한동리 701-7 일원,대면,2019, - ,640, - ,640, - , - ,고흥군축제추진위원회,민간단체,고흥군 지역축제 운영에 관한 조례,,김종훈,061-830-5658
537,전남,보성군,보성다향대축제,특산물,4.15.~4.21.,차문화공원,대면,1975,30,700, - ,730, - , - ,보성다향대축제추진위원회,민간단체,보성군 지역축제 지원 및 운영조례,문체부,정상준,061-850-5211
538,전남,보성군,서편제보성소리축제,문화예술,4.15.~4.17.,문화예술회관,대면,1998, - ,475, - ,475, - , - ,서편제보성소리축제추진위원회,민간단체,보성군 지역축제 지원 및 운영조례,,윤희진,061-850-5202
539,전남,보성군,보성전어축제,특산물,8월중,율포해변,대면,2004, - ,55, - ,55, - , - ,보성전어축제추진위원회,민간단체,보성군 지역축제 지원 및 운영조례,,정상준,061-850-5211
540,전남,보성군,벌교꼬막&문학축제,특산물,11월중,벌교읍 거리,대면,2001, - ,200, - ,200, - , - ,벌교꼬막&문학축제추진위원회,민간단체,보성군 지역축제 지원 및 운영조례,,정상준,061-850-5211
541,전남,보성군,보성차밭빛축제,기타(주민화합 등),12월중,차문화공원,대면,1999, - ,700, - ,700, - , - ,공공(시군),,보성군 지역축제 지원 및 운영조례,,정상준,061-850-5211
542,전남,보성군,율포해변 불꽃축제,기타(주민화합 등),12.31.~'22.1.1.,율포해변,대면,2019, - ,500, - ,500, - , - ,공공(시군),,보성군 지역축제 지원 및 운영조례,,정상준,061-850-5211
543,전남,화순군,화순 국화향연,생태자연,10~11월(17일),화순 남산공원,대면,2013, - ,"1,000", - ,"1,000","54,157", - ,공공(시군),,화순군 축제발전 및 운영에 관한 조례,,곽지수,061-379-3575
544,전남,화순군,적벽 문화제,생태자연,10월중(2일),"이서커뮤니티센터,
적벽 망향정",대면,1975, - ,70, - ,70, - , - ,적벽문화축제추진위원회,민간단체,화순군 축제발전 및 운영에 관한 조례,,김두정,061-379-3576
545,전남,화순군,고인돌 문화축제　　　　,문화예술,4.16.~17.,고인돌유적지,대면,2014, - ,100, - ,100, - , - ,고화순고인돌문화축제추진위원회,민간단체,화순군 축제발전 및 운영에 관한 조례,,김두정,061-379-3576
546,전남,화순군,동구리 호수공원 봄축제　,생태자연,4.30.~5.1.,동구리 호수공원,대면,2016, - ,50, - ,50, - , - ,화순읍청년연합회,임의단체,화순군 축제발전 및 운영에 관한 조례,,김두정,061-379-3576
547,전남,화순군,운주 문화축제　　　　,문화예술,5월중(2일),운주사,대면,1996, - ,90, - ,90, - , - ,화순운주문화축제추진위원회,민간단체,화순군 축제발전 및 운영에 관한 조례,,김두정,061-379-3576
548,전남,화순군,백아산 철쭉제　　　　,생태자연,5.6.~5.7.,백아산,대면,1999, - ,19, - ,19, - , - ,백아면청년회,임의단체,화순군 축제발전 및 운영에 관한 조례,,김두정,061-379-3576
549,전남,장흥군,2022 정남진장흥키조개축제,특산물,5월초,수문항 일원,미정,2003, - ,50,22,72, - , - ,공공(시군),,,,황의창,061-860-5992
550,전남,장흥군,제15회 정남진장흥물축제,생태자연,7.30.~8.7.,탐진강변,미정,2008,30,"1,700",,"1,730", - , - ,장흥물축제추진위원회,위원회,정남진물축제 운영 조례,문체부,전희석,061-860-5771
551,전남,장흥군,2022 장평명품호두축제,특산물,9월중,장평면행정복지센터 광장,미정,2011, - ,36,14,50, - , - ,공공(시군),,,,염세경,061-860-6091
552,전남,장흥군,2022 회령포문화축제,전통역사,10월중,회진항 일원,미정,2017, - ,130,15,145, - , - ,공공(시군),,,,오시온,061-860-5763
553,전남,장흥군,2022 장흥표고버섯축제,특산물,10월중,유치면 행정복지센터 일원,미정,2015, - ,20,,20, - , - ,공공(시군),,,,염세경,061-860-6091
554,전남,강진군,제5회 강진군동금곡사 벚꽃30리길 축제,생태자연,4.1~4.3.,군동면 까치내로 일원,대면,2018, - ,50, - ,50, - , - ,강진금곡사벚꽃30리길축제추진위원회,민간단체,강진군 축제 운영 및 지원 등에 관한 조례,,천영욱,061-430-3354
555,전남,강진군,제25회 전라병영성축제,전통역사,4.20.~4.24.,병영면 전라병영성 일원,대면,1998, - ,250, - ,250, - , - ,강진군축제추진위원회,민간단체,강진군 축제 운영 및 지원 등에 관한 조례,,천영욱,061-430-3354
556,전남,강진군 ,제14회 마량 미항 찰전어축제,특산물,9.16.~9.18.,마량항 일원,대면,2009, - ,40, - ,40, - , - ,마량미항축제추진위원회,민간단체,강진군 축제 운영 및 지원 등에 관한 조례,,천영욱,061-430-3354
557,전남,강진군,제50회 강진청자축제,전통역사,9.30.~10.6.,대구면 청자촌,대면,1973, - ,800, - ,800,"630,000", - ,강진군축제추진위원회,민간단체,강진군 축제 운영 및 지원 등에 관한 조례,,김필순,061-430-3352
558,전남,강진군,제7회 강진만춤추는 갈대축제,생태자연,10.28.~11.6.,강진만 생태공원,대면,2016, - ,500, - ,500, - , - ,강진군축제추진위원회,민간단체,강진군 축제 운영 및 지원 등에 관한 조례,,천영욱,061-430-3354
559,전남,해남군,제9회 땅끝매화축제,생태자연,3월중,산이 보해매실농원,대면,2009, - ,60, - ,60,"12,573", - ,산이면 문화체육진흥회,민간단체,,,이종윤,061-530-5158
560,전남,해남군,2022 송호해변 여름축제,생태자연,7월~8월중,송호해수욕장,대면,2019, - ,200, - ,200,"20,321", - ,공공(시군),,,,이종윤,061-530-5158
561,전남,해남군,2022 오시아노 뮤직페스티벌,문화예술,8월중,오시아노 관광단지,대면,2021, - ,200, - ,200,"3,812", - ,공공(시군),,,,이종윤,061-530-5158
562,전남,해남군,제4회 해남미남축제,특산물,10월말~11월초,대흥사 일원,대면,2019, - ,650, - ,650,"241,552", - ,해남군축제추진위원회,민간단체,해남군 축제 육성 및 지원 조례,,이종윤,061-530-5158
563,전남,해남군,제25회 땅끝해넘이해맞이축제,생태자연,12.31.~'23.1.1.,땅끝 관광지,대면,1995, - ,40, - ,40, - , - ,땅끝해넘이해맞이축제추진위원회,민간단체,,,이종윤,061-530-5158
564,전남,영암군,영암왕인문화축제,문화예술,4월중,왕인박사유적지,미정,1997,30,960, - ,990,"3,570,000", - ,영암군향토축제추진위원회,민간단체,영암군 향토축제 운영 및 지원 등에 관한 조례,문체부,문준선,061-470-2259
565,전남,영암군,월출산국화축제,생태자연,10월~11월,월출산기찬랜드,미정,2009, - ,300, - ,300,"150,000", - ,공공(시군),,영암군 향토축제 운영 및 지원 등에 관한 조례,,문준선,061-470-2259
566,전남,영암군,마한축제,전통역사,10월중,마한문화공원,미정,2015, - ,150, - ,150,"30,000", - ,마한촌 조성 및 마한축제추진위원회,민간단체,영암군 향토축제 운영 및 지원 등에 관한 조례,,문준선,061-470-2259
567,전남,영암군,영암무화과축제,특산물,9월중,미정,미정,1997, - ,100,80,180,"30,000", - ,삼호읍 문예체육행사추진위원회,민간단체,영암군 향토축제 운영 및 지원 등에 관한 조례,,김병국,061-470-2384
568,전남,무안군,제25회 무안연꽃축제,생태자연,7월~8월(4일),회산 백련지,대면,1997, - ,700, - ,700,"371,704", - ,무안군축제추진위원회,민간단체,무안군축제추진위원회 설치 및 운영조례,,박혜령,061-450-5472
569,전남,무안군,제9회 무안황토갯벌축제,생태자연,9월중(3일),무안황토갯벌랜드,대면,2013, - ,500, - ,500,"222,076", - ,무안군축제추진위원회,민간단체,무안군축제추진위원회 설치 및 운영조례,,박혜령,061-450-5472
570,전남,무안군,2022 무안YD 페스티벌,기타(주민화합 등),10월중(3일),남악중앙공원,대면,2019, - , - , - , 미정 , - , - ,공공(시군),,,,박혜령,061-450-5472
571,전남,함평군,제24회 함평나비대축제,생태자연,4.29.~5.8.,함평엑스포공원,혼합형,1999, - ,"1,000", - ,"1,000", - , - ,함평축제관광재단,재단법인,함평축제관광재단 설립 및 운영에 관한 조례,,심민진,061-320-2212
572,전남,함평군,2022 대한민국 국향대전,생태자연,10.21.~11.6.,함평엑스포공원,혼합형,2004, - ,800, - ,800,"116,793", - ,함평축제관광재단,재단법인,함평축제관광재단 설립 및 운영에 관한 조례,,심민진,061-320-2212
573,전남,함평군,2022 꽃무릇큰잔치,생태자연,9.16.~9.17.,해보면 용천사,대면,2000, - ,60, - ,60, - , - ,해보면꽃무릇큰잔치추진위원회,민간단체,,,심민진(박민혜),061-320-2212(2773)
574,전남,함평군,2022 대한민국 난명품대제전,특산물,3.26.~3.27.,함평문화체육센터,대면,2005, - ,60, - ,60,"2,000", - ,함평난연합회,민간단체,,,김준성,061-320-2864
575,전남,영광군,2022 곡우사리 영광굴비축제,특산물,4.22.~4.24.,법성포 뉴타운,혼합형,2016, - ,70,70,140,"79,813", - ,곡우사리영광굴비축제추진위원회,민간단체,,,한경배,061-350-5972
576,전남,영광군,제9회 영광찰보리문화축제,생태자연,4.29.~4.30.,지내들 옹기돌탑공원,혼합형,2011, - ,50,20,70,"28,000", - ,영광찰보리문화축제추진위원회,민간단체,,,박영선,061-350-5951
577,전남,영광군,2022 영광법성포단오제,문화예술,6.2.~6.5.,법성포단오제 전수교육관,혼합형,조선중기, - ,250,140,390,"105,371", - ,법성포단오제보존회,사단법인,,,임준형,061-350-5752
578,전남,영광군,제13회 영광천일염젓갈갯벌축제,생태자연,8.26.~8.28.,설도항,혼합형,2009, - ,64,20,84,"25,000", - ,영광천일염젓갈갯벌축제추진위원회,민간단체,,,임재정,061-350-4955
579,전남,영광군,제22회 영광불갑산상사화축제,생태자연,9.16.~9.25.,불갑사 관광지,혼합형,2001, - ,358,40,398,"233,919", - ,영광불갑산상사화축제추진위원회,민간단체,,,임준형,061-350-5752
580,전남,영광군,제13회 영광백수해안도로노을축제,생태자연,10.1.~10.2.,노을광장,혼합형,2009, - ,57,50,107,"20,000", - ,영광백수해안도로노을축제추진위원회,민간단체,,,정의연,061-350-5882
581,전남,장성군,제6회 빈센트의봄,생태자연,4월중,"장성역광장, 장성공원",혼합형,2015, - ,60, - ,60, - , - ,장성군축제위원회,민간단체,장성군 축제위원회 구성 및 지원에 관한 조례,,신소연,061-390-7453
582,전남,장성군,제21회 황룡강 (洪)길동무 꽃길 축제,생태자연,5월중,"황룡강변 일원, 홍길동테마파크",혼합형,1999, - ,400, - ,400, - , - ,장성군축제위원회,민간단체,장성군 축제위원회 구성 및 지원에 관한 조례,,신소연,061-390-7453
583,전남,장성군,제6회 황룡강 노란꽃잔치,생태자연,10월중,황룡강변 일원,혼합형,2015, - ,100, - ,100, - , - ,장성군축제위원회,민간단체,장성군 축제위원회 구성 및 지원에 관한 조례,,손지성,061-390-7242
584,전남,장성군,제13회 축령산 편백산소축제,생태자연,10월중,축령산,혼합형,2008, - ,30, - ,30, - , - ,장성군축제위원회,민간단체,장성군 축제위원회 구성 및 지원에 관한 조례,,신소연,061-390-7453
585,전남,장성군,제23회 백양단풍축제,생태자연,11월중,"국립공원 백암산, 백양사",혼합형,1996, - ,20, - ,20, - , - ,장성군축제위원회,민간단체,장성군 축제위원회 구성 및 지원에 관한 조례,,신소연,061-390-7453
586,전남,완도군,2022 완도장보고수산물축제,전통역사,5.5.~5.8.,"완도해변공원, 완도읍 신지면 일원",혼합형,1995, - ,785, - ,785, - , - ,완도군장보고수산물축제추진위원회,민간단체,완도군 지역축제 육성지원에 관한 조례,,김승철,061-550-5431
587,전남,완도군,2022 청산도슬로걷기축제,생태자연,4.1.~5.8.,청산면 일원,혼합형,2009, - ,250, - ,250, - , - ,청산도슬로걷기축제추진위원회,민간단체,완도군 지역축제 육성지원에 관한 조례,,정예지,061-550-5432
588,전남,완도군,2022 청정완도 가을섬여행,문화예술,10월중,"완도읍, 청산면, 보길면 일원",혼합형,2015, - ,280, - ,280, - , - ,"청정완도가을섬여행
추진위원회",민간단체,완도군 지역축제 육성지원에 관한 조례,,김승철,061-550-5431
589,전남,진도군,제43회 진도신비의바닷길축제,생태자연,4.17.~4.19.,고군면 회동리,대면,1978, - ,800, - ,800,"121,232", - ,진도군관광협의회,사단법인,진도군관광협의회 설립에 관한 조례,,이기복,061-540-3407
590,전남,진도군,제9회 대한민국진도개페스티벌,특산물,5.3.~5.5.,진도개테마파크,대면,2012, - ,100, - ,100, - , - ,공공(시군),,,,오대관,061-540-6324
591,전남,진도군,2022 진도문화예술제,문화예술,10월중(1개월),진도군 일원,대면,2012, - ,100, - ,100,"3,000", - ,한국예총진도군지회,사단법인,,,곽영신,061-540-3072
592,전남,신안군,2022년 섬 튤립축제,생태자연,4월중(10일),신안 튤립공원,혼합형,2008, - ,90, - ,90,"36,849", - ,신안튤립축제추진위원회,민간단체,신안군 축제추진위원회 설치 및 운영 조례,,이현윤,061-240-4041
593,전남,신안군,2022년 섬 겨울꽃 축제,생태자연,12월~'22.1월,천사섬분재공원,혼합형,2012, - ,70, - ,70,"22,556", - ,"섬겨울꽃축제
추진위원회",민간단체,신안군 축제추진위원회 설치 및 운영 조례,,문치성,061-240-8778
594,충남,천안시,천안흥타령춤축제,"ㅇ 춤경연 대회(전국춤 , 국제춤 분야)
ㅇ 코리아국제현대무용콩쿠르
ㅇ 농산물 홍보 및 체험 한마당 운영
ㅇ 부대공연 ",9.21~9.25,미정,혼합형,2003년,0,210,0,210,8000명,0,천안문화재단,재단법인,천안문화재단 설립 및 운영에 관한 조례 ,-,조원정,041-521-5154
595,충남,천안시,천안호두축제,특산물,10월 중,광덕쉼터,혼합형,2008년,0,76.5,19.5,96,10000명,0,천안호두축제추진위원회,단체,산림기본법 제26조(임업관련 단체의 육성),-,김선경,041-521-4706
596,충남,천안시,천안북면위례벚꽃축제,생태자연,4월 초중순(2일간),은석초 및 병천천 일원,대면,2013년,0,50,22,72,"30,000명",집계없음,천안북면위례벚꽃축제추진위원회,비영리법인,시민 자체 조직,-,김규철,041-521-4721
597,충남,천안시,입장거봉포도축제,특산물,9월중(2일간),미정,대면,1993년,0,44,19,63,"34,000명",-,입장거봉포도축제추진위원회,축제조직위,천안시 농업ㆍ농촌 및 식품산업 지원에 관한 조례 제4조 4,-,고현지,041-521-6847
598,충남,공주시,겨울공주 군밤축제,지역특산물,2월중,고마일원,혼합형,2018,0,230,0,230,5858명,-,겨울공주군밤축제조기위원회,축제조직위,공주시 축제조례,-,김현오,041-840-8111
599,충남,공주시,석장리 세계구석기축제,전통역사,5.5. ~ 5. 8,석장리박물관,혼합형,2008,0,1100,0,1100,72899명,-,구석기축제조직위원회,축제조직위,공주시 축제조례,-,이정희,041-840-8069
600,충남,공주시,계룡산 벚꽃축제,생태자연,4월중,동학사,대면,2004,0,20,0,20,취소,-,계룡산벚꽃축제추진위원회,임의단체,공주시 축제조례,-,이승현,041-840-8093
601,충남,공주시,계룡산산신제,전통역사,4월중,계룡 양화리,대면,1998,0,30,0,30,1500명,-,계룡산산신제전통보존회,임의단체,공주시 축제조례,-,이정희,041-840-8069
602,충남,공주시,마곡사 신록축제,문화예술,4월중,마곡사,대면,2004,0,20,0,20,2000,-,마곡사신록축제추진위원회,임의단체,공주시 축제조례,-,김현오,041-840-8111
603,충남,공주시,갑사황매화축제,생태자연,4월중,갑사,대면,2019,0,20,0,20,1000,-,갑사상가번영회,임의단체,공주시 축제조례,-,이경진,041-840-8112
604,충남,공주시,공주항공축제,생태자연,9월중,정안천,대면,2009,0,20,0,20,취소,-,공주경비행기,임의단체,공주시 축제조례,-,김현오,041-840-8111
605,충남,공주시,유구색동수국정원꽃축제,문화예술,6월중,유구천,대면,2019,0,250,0,250,5119,-,여름공주축제조직위원회,축제조직위,공주시 축제조례,-,김현오,041-840-8111
606,충남,공주시,제68회 백제문화제,백제역사,10. 1.~10.10,금강신관공원,혼합형,1955,0,3000,0,30000,119323,-,백제문화선양위원회,재단법인,공주시 축제조례,-,이경진,041-840-8112
607,충남,공주시,구절산 구절초 축제,생태자연,10월중,신풍 구절사,대면,2019,0,20,0,20,600,-,구룡사구절초꽃축제조직위원회,임의단체,공주시 축제조례,-,이승현,041-840-8093
608,충남,보령시,무창포 주꾸미.도다리 축제,특산물,3월~4월,무창포항일원,대면,2000,0,20,21.5,41.5,미개최,미개최,보조단체 미선정,-,-,-,이재언,041-930-6761
609,충남,보령시,2022 옥마산 봄꽃축제,생태자연,4월 중순 / 2일간,"옥마산 올레길, 옥마정 일원 등",대면,2011,0,3,0,3,미개최,미개최,옥마산벚꽃추진위원회,마을조직,"「보령시 임농가 소득 및 산림문화행사 지원 조례」 제7조(산림문화행사 지원) 제2호(봄꽃, 단풍, 억새, 무궁화, 산림체험 축제)",-,황채은,041-930-4952
610,충남,보령시,제16회 주산봄꽃축제,주민화합,4월중,주산면 화산천변,대면,2005,0,61,10,71,미개최,미개최,주산면체육회,-,-,-,한은경,041-930-4761
611,충남,보령시,대천해수욕장 조개구이 축제,특산물,5월중,대천해수욕장 일원,대면,2018,0,0,50,50,1000,0,보조단체 미선정,-,-,-,송민서,041-930-6563
612,충남,보령시,대천항수산물축제,특산물,5월중,대천항일원,대면,2010,0,50,10,60,미개최,미개최,보조단체 미선정,-,-,-,이재언,041-930-6761
613,충남,보령시,오천항키조개축제,특산물,5월중,오천항일원,대면,2018,0,10,13,23,미개최,미개최,보조단체 미선정,-,-,-,이재언,041-930-6761
614,충남,보령시,보령AMC모터페스티벌,기타,5월중,대천해수욕장,대면,2022,0,150,0,150,미개최,미개최,보조단체 미선정,-,-,-,곽소영,041-930-6561
615,충남,보령시,제25회 보령머드축제 ,기타,7월~8월,대천해수욕장,대면,1998,0,4750,1750,6500,3124,온오프라인,(재)보령축제관광재단,재단법인,보령축제관광재단 설립 및 지원 조례 ,-,곽소영,041-930-6561
616,충남,보령시,무창포 신비의 바닷길 축제,기타,8~9월,무창포해수욕장,대면,1998,0,270,0,270,미개최,미개최,(재)보령축제관광재단,재단법인,보령축제관광재단 설립 및 지원 조례 ,-,이예원,041-930-6562
617,충남,보령시,효도관광퍼레이드,기타(주민화합),909.~9.10.,은포2리 마을회관,대면,2019,4,4,2,10,미개최,미개최,마을 축제추진위원회,마을조직,은포2리 마을개발위원회에서 결정,문체부,손태규,041-930-4596
